20171208-01:04:00,74,75
20171208-01:04:05,75,74
20171208-01:04:11,76,74
20171208-01:04:16,77,75
20171208-01:04:22,79,75
20171208-01:04:27,78,76
20171208-01:04:32,76,76
20171208-01:04:37,76,77
20171208-01:04:42,75,76
20171208-01:04:48,75,76
20171208-01:04:53,76,76
20171208-01:04:58,75,75
20171208-01:05:04,74,75
20171208-01:05:09,76,75
20171208-01:05:15,76,75
20171208-01:05:20,73,75
20171208-01:05:26,75,74
20171208-01:05:31,77,75
20171208-01:05:37,75,75
20171208-01:05:42,80,76
20171208-01:05:47,92,78
20171208-01:05:52,91,81
20171208-01:05:58,90,84
20171208-01:06:03,88,86
20171208-01:06:08,77,86
20171208-01:06:13,72,85
20171208-01:06:19,75,82
20171208-01:06:24,72,79
20171208-01:06:30,85,78
20171208-01:06:35,89,78
20171208-01:06:40,91,80
20171208-01:06:46,96,84
20171208-01:06:51,97,88
20171208-01:06:57,97,92
20171208-01:07:02,97,94
20171208-01:07:07,97,95
20171208-01:07:12,97,96
20171208-01:07:18,97,97
20171208-01:07:23,97,97
20171208-01:07:29,95,96
20171208-01:07:34,94,96
20171208-01:07:39,94,95
20171208-01:07:44,94,95
20171208-01:07:50,94,94
20171208-01:07:55,94,94
20171208-01:08:01,94,94
20171208-01:08:06,94,94
20171208-01:08:12,94,94
20171208-01:08:17,94,94
20171208-01:08:22,94,94
20171208-01:08:28,94,94
20171208-01:08:33,94,94
20171208-01:08:39,94,94
20171208-01:08:44,94,94
20171208-01:08:49,94,94
20171208-01:08:55,94,94
20171208-01:09:00,94,94
20171208-01:09:06,94,94
20171208-01:09:11,94,94
20171208-01:09:17,94,94
20171208-01:09:22,94,94
20171208-01:09:27,94,94
20171208-01:09:32,94,94
20171208-01:09:37,94,94
20171208-01:09:42,94,94
20171208-01:09:48,94,94
20171208-01:09:53,94,94
20171208-01:09:59,90,93
20171208-01:10:05,81,91
20171208-01:10:10,73,87
20171208-01:10:15,73,84
20171208-01:10:21,73,80
20171208-01:10:26,73,77
20171208-01:10:31,73,74
20171208-01:10:37,73,73
20171208-01:10:43,73,73
20171208-01:10:48,73,73
20171208-01:10:54,73,73
20171208-01:10:59,73,73
20171208-01:11:04,73,73
20171208-01:11:09,73,73
20171208-01:11:15,73,73
20171208-01:11:21,73,73
20171208-01:11:26,72,72
20171208-01:11:32,71,72
20171208-01:11:37,71,72
20171208-01:11:42,72,72
20171208-01:11:48,73,72
20171208-01:11:53,74,72
20171208-01:11:59,74,72
20171208-01:12:04,75,73
20171208-01:12:09,76,74
20171208-01:12:15,76,74
20171208-01:12:20,75,75
20171208-01:12:26,76,75
20171208-01:12:31,76,75
20171208-01:12:37,76,75
20171208-01:12:42,76,75
20171208-01:12:47,76,75
20171208-01:12:52,76,76
20171208-01:12:57,76,76
20171208-01:13:03,76,76
20171208-01:13:08,76,76
20171208-01:13:13,76,76
